,,event,position,timestamp,status,rate
0,0,0,0,3,1,1
0,1,2,216,234,1,1
0,2,1,223,241,0,1
0,3,0,223,263,1,1
1,0,0,0,1,1,1
2,0,0,0,10,1,1
2,1,1,49,59,0,1
2,2,0,49,68,1,1
2,3,2,118,143,1,1
2,4,1,118,143,0,1
2,5,0,118,155,1,1
2,6,2,156,200,1,1
2,7,1,159,204,0,1
2,8,0,159,213,1,1
2,9,1,202,256,0,1
2,10,0,202,258,1,1
3,0,0,0,1,1,1
3,1,1,19,20,0,1
3,2,0,19,29,1,1
4,0,0,0,17,1,1
4,1,1,7,24,0,1
4,2,0,7,29,1,1
5,0,0,0,2,1,1
5,1,1,80,82,0,1
5,2,0,80,333,1,1
5,3,2,302,572,1,1
5,4,2,286,581,1,1
5,5,3,323,595,1,1
5,6,1,371,643,0,1
5,7,0,371,652,1,1
5,8,1,455,735,0,1
5,9,0,455,749,1,1
5,10,1,471,765,0,1
5,11,0,471,773,1,1
5,12,1,578,881,0,1
5,13,0,578,886,1,1
8,0,0,0,16,1,1
8,1,1,6,22,0,1
8,2,0,6,68,1,1
8,3,1,21,83,0,1
8,4,0,21,96,1,1
8,5,1,65,140,0,1
8,6,0,65,154,1,1
8,7,1,94,183,0,1
8,8,0,94,188,1,1
8,9,1,96,190,0,1
8,10,0,96,203,1,1
8,11,1,110,217,0,1
8,12,0,110,296,1,1
8,13,1,113,299,0,1
8,14,0,113,302,1,1
8,15,1,114,303,0,1
8,16,0,114,308,1,1
8,17,1,116,310,0,1
8,18,0,116,418,1,1
8,19,1,123,425,0,1
8,20,2,116,429,0,1
8,21,1,116,430,0,1
8,22,0,116,443,1,1
8,23,1,118,445,0,1
8,24,0,118,454,1,1
8,25,1,119,455,0,1
8,26,0,119,480,1,1
8,27,1,190,551,0,1
8,28,0,190,565,1,1
8,29,1,193,568,0,1
8,30,0,193,599,1,1
8,31,1,221,627,0,1
8,32,0,221,640,1,1
8,33,1,325,744,0,1
8,34,0,325,746,1,1
