,,event,position,timestamp,status,rate
0,0,0,0,3,1,1
0,1,1,223,241,0,1
0,2,0,223,263,1,1
1,0,0,0,1,1,1
2,0,0,0,10,1,1
2,1,0,49,68,1,1
2,2,1,118,143,0,1
2,3,0,118,155,1,1
2,4,2,156,200,1,1
2,5,1,159,204,0,1
2,6,0,159,213,1,1
2,7,0,202,258,1,1
3,0,0,0,1,1,1
3,1,0,19,29,1,1
4,0,0,0,17,1,1
4,1,0,7,29,1,1
5,0,0,0,2,1,1
5,1,0,80,333,1,1
5,2,2,306,573,1,1
5,3,2,298,581,1,1
5,4,3,323,595,1,1
5,5,0,371,652,1,1
5,6,0,455,749,1,1
5,7,0,471,773,1,1
5,8,0,578,886,1,1
6,0,0,0,1,1,1.0
6,1,0,40,57,1,1.0
6,2,0,47,67,1,1.0
6,3,0,59,95,1,1.0
6,4,0,103,153,1,1.0
6,5,0,140,191,1,1.0
6,6,0,141,197,1,1.0
6,7,0,164,240,1,1.0
6,8,2,165,254,0,1.0
6,9,0,166,376,1,1.0
6,10,1,180,395,0,1.0
6,11,0,180,537,1,1.0
6,12,1,193,552,0,1.0
6,13,0,193,561,1,1.0
6,14,1,208,576,0,1.0
6,15,0,208,588,1,1.0
6,16,1,214,594,0,1.0
6,17,0,214,731,1,1.0
6,18,4,218,736,1,1.5
6,19,1,226,741,0,1.0
6,20,0,226,753,1,1.0
6,21,4,237,762,1,1.25
6,22,0,237,770,1,1.0
6,23,1,245,777,0,1.0
6,24,1,253,793,0,1.0
6,25,0,253,802,1,1.0
6,26,1,272,817,0,1.0
6,27,0,272,828,1,1.0
6,28,6,279,835,1,1.0
6,29,0,279,839,1,1.0
6,30,1,292,852,0,1.0
6,31,0,292,862,1,1.0
6,32,4,374,944,1,1.5
7,0,0,0,6,1,1.0
7,1,1,17,28,0,1.0
7,2,0,17,45,1,1.0
7,3,1,51,79,0,1.0
7,4,0,51,105,1,1.0
7,5,1,80,134,0,1.0
7,6,0,80,148,1,1.0
7,7,1,121,188,0,1.0
7,8,0,121,199,1,1.0
7,9,2,121,205,1,1.0
7,10,1,121,206,0,1.0
7,11,0,121,216,1,1.0
7,12,1,141,236,0,1.0
7,13,0,141,241,1,1.0
7,14,1,160,263,0,1.0
7,15,0,160,288,1,1.0
7,16,1,177,305,0,1.0
7,17,0,177,327,1,1.0
7,18,1,188,339,0,1.0
7,19,0,188,350,1,1.0
7,20,1,210,372,0,1.0
7,21,0,210,379,1,1.0
7,22,2,251,425,1,1.0
7,23,1,251,426,0,1.0
7,24,0,251,435,1,1.0
7,25,4,265,450,1,2.0
8,0,0,0,16,1,1
8,1,0,6,68,1,1
8,2,0,21,96,1,1
8,3,0,65,154,1,1
8,4,0,94,188,1,1
8,5,0,96,203,1,1
8,6,0,110,296,1,1
8,7,0,113,302,1,1
8,8,0,114,308,1,1
8,9,0,116,418,1,1
8,10,1,116,430,0,1
8,11,1,118,445,0,1
8,12,1,119,455,0,1
8,13,0,119,480,1,1
8,14,1,190,551,0,1
8,15,0,190,565,1,1
8,16,1,193,568,0,1
8,17,0,193,599,1,1
8,18,1,221,627,0,1
8,19,0,221,640,1,1
8,20,0,325,746,1,1
8,21,1,327,753,0,1
8,22,0,327,757,1,1
8,23,1,370,800,0,1
8,24,0,370,810,1,1
9,0,0,0,83,1,1
9,1,0,9,111,1,1
9,2,0,23,134,1,1
9,3,0,42,168,1,1
9,4,1,67,199,0,1
9,5,0,67,215,1,1
9,6,2,116,270,1,1
9,7,0,117,274,1,1
9,8,2,118,279,1,1
9,9,1,118,280,0,1
9,10,0,118,288,1,1
9,11,1,142,311,0,1
9,12,0,142,324,1,1
9,13,1,148,330,0,1
9,14,0,148,385,1,1
9,15,2,152,395,1,1
